sufrir	挨 (āi)
bacterias	细菌 (xì jūn)
español	西班牙语 (xī bān yá yǔ)
pionero	先锋 (xiān fēng)
Aversión	嫌 (xián)
espectáculo	显出 (xiǎn chū)
riesgo	险 (xiǎn)
línea	线路 (xiàn lù)
incurrir	陷入 (xiàn rù)
sonido	响声 (xiǎng shēng)
Inesperado	想不到 (xiǎng bú dào)
consumir	消耗 (xiāo hào)
borrar	消灭 (xiāo miè)
consejo	小费 (xiǎo fèi)
trigo	小麦 (xiǎo mài)
menos que	小于 (xiǎo yú)
saber	晓得 (xiǎo de)
cara sonriente	笑脸 (xiào liǎn)
sonrisa	笑容 (xiào róng)
risa	笑声 (xiào shēng)
coordinación	协调 (xié tiáo)
asociación	协会 (xié huì)
Negociar	协商 (xié shāng)
asistir	协助 (xié zhù)
edificio de oficinas	写字楼 (xiě zì lóu)
escritorio	写字台 (xiě zì tái)
alma	心灵 (xīn líng)
desear	心愿 (xīn yuàn)
corazón	心脏 (xīn zàng)
cardiopatía	心脏病 (xīn zàng bìng)
Recién llegado	新人 (xīn rén)
nuevo	新兴 (xīn xīng)
salario	薪水 (xīn shuǐ)
Creencia	信仰 (xìn yǎng)
Crédito	信用 (xìn yòng)
viaje	行程 (xíng chéng)
forma	形 (xíng)
prosperando	兴旺 (xīng wàng)
feroz	凶 (xiōng)
asesino	凶手 (xiōng shǒu)
reparar auto	修车 (xiū chē)
bolsillo	袖珍 (xiù zhēn)
colgante	悬 (xuán)
girar	旋转 (xuán zhuǎn)
selección	选拔 (xuǎn bá)
elección	选举 (xuǎn jǔ)
aprender	学会 (xué huì)
alumno	学员 (xué yuán)
Vaso sanguíneo	血管 (xuè guǎn)
sangre	血液 (xuè yè)
ciclo	循环 (xún huán)
opresión	压迫 (yā pò)
fuegos artificiales	烟花 (yān huā)
a lo largo de	沿 (yán)
costero	沿海 (yán hǎi)
a lo largo de	沿着 (yán zhe)
I+D	研发 (yán fā)
Vidente	眼看 (yǎn kàn)
actuación	演奏 (yǎn zòu)
banquete	宴会 (yàn huì)
extranjero	洋 (yáng)
admirar	仰 (yǎng)
Pensión	养老 (yǎng lǎo)
oxígeno	氧气 (yǎng qì)
Muestra	样 (yàng)
droga	药品 (yào pǐn)
de lo contrario	要不然 (yào bù rán)
Estar bien	要好 (yào hǎo)
Cualquiera	要么 (yào me)
elemento	要素 (yào sù)
campo	野 (yě)
salvaje	野生 (yě shēng)
Desechable	一次性 (yí cì xìng)
generación	一代 (yí dài)
juntos	一道 (yī dào)
numero uno	一番 (yī fān)
coherente	一贯 (yí guàn)
a lo largo del camino	一路上 (yī lù shàng)
exactamente lo mismo	一模一样 (yī mú yī yàng)
juntos	一齐 (yī qí)
por un tiempo	一时 (yī shí)
juntos	一同 (yī tóng)
una linea	一行 (yī xíng)
medicamento	医药 (yī yào)
Sucesivamente	依次 (yī cì)
confiar	依赖 (yī lài)
instrumento	仪器 (yí qì)
ceremonia	仪式 (yí shì)
Lástima	遗憾 (yí hàn)
artista	艺人 (yì rén)
asunto	议题 (yì tí)
anormal	异常 (yì cháng)
inesperado	意想不到 (yì xiǎng bù dào)
Voluntad	意愿 (yì yuàn)
porque	因 (yīn)
factor	因素 (yīn sù)
conspiración	阴谋 (yīn móu)
sombra	阴影 (yīn yǐng)
volumen	音量 (yīn liàng)
audiovisual	音像 (yīn xiàng)
esconder	隐藏 (yǐn cáng)
privacidad	隐私 (yǐn sī)
imprimir	印 (yìn)
respuesta	应对 (yìng duì)
emergencia	应急 (yìng jí)
héroe	英雄 (yīng xióng)
bienvenido	迎来 (yíng lái)
fanáticos del cine	影迷 (yǐng mí)
influencia	影响力 (yǐng xiǎng lì)
estrella de cine	影星 (yǐng xīng)
utilidad	用处 (yòng chǔ)
Útil	用得着 (yòng dé zhe)
uso	用法 (yòng fǎ)
suministros	用品 (yòng pǐn)
Cuidadoso	用心 (yòng xīn)
alta calidad	优质 (yōu zhì)
turístico	游人 (yóu rén)
jugar	游玩 (yóu wán)
consola de juegos	游戏机 (yóu xì jī)
procesión	游行 (yóu xíng)
relacionado	有关 (yǒu guān)
¿Hay alguna	有没有 (yǒu méi yǒu)
algo paso	有事 (yǒu shì)
En	于 (yú)
entretenimiento	娱乐 (yú lè)
alegría	愉快 (yú kuài)
y	与 (yǔ)
astronauta	宇航员 (yǔ háng yuán)
impermeable	雨衣 (yǔ yī)
reservar	预约 (yù yuē)
elemento	元素 (yuán sù)
jardín	园 (yuán)
jardín	园地 (yuán dì)
Original	原 (yuán)
demandante	原告 (yuán gào)
perdonar	原谅 (yuán liàng)
bolígrafo	圆珠笔 (yuán zhū bǐ)
asistencia	援助 (yuán zhù)
razón	缘故 (yuán gù)
distancia	远方 (yuǎn fāng)
Manténgase alejado	远离 (yuǎn lí)
lejos	远远 (yuǎn yuǎn)
Acuerdo	约定 (yuē dìng)
débil	晕 (yūn)
mareo por movimiento	晕车 (yùn chē)
permitir	允许 (yǔn xǔ)
Operación	运作 (yùn zuò)
misceláneas	杂 (zá)
reproducción	再生 (zài shēng)
Dilo de nuevo	再说 (zài shuō)
sufrió	遭到 (zāo dào)
sufrir	遭受 (zāo shòu)
encontrar	遭遇 (zāo yù)
tarde o temprano	早晚 (zǎo wǎn)
mejorar	增进 (zēng jìn)
valor agregado	增值 (zēng zhí)
atar	扎 (zhā)
sólido	扎实 (zhā shí)
freír	炸 (zhà)
bomba	炸弹 (zhà dàn)
dinamita	炸药 (zhà yào)
deuda	债 (zhài)
ocupar	占据 (zhàn jù)
campo de batalla	战场 (zhàn chǎng)
estrategia	战略 (zhàn lüè)
táctica	战术 (zhàn shù)
Camaradas	战友 (zhàn yǒu)
plataforma	站台 (zhàn tái)
capítulo	章 (zhāng)
longitud	长短 (cháng duǎn)
largas vacaciones	长假 (cháng jià)
largo	长久 (cháng jiǔ)
carrera de larga distancia	长跑 (cháng pǎo)
largo	长远 (cháng yuǎn)
aplausos	掌声 (zhǎng shēng)
cuenta	账 (zhàng)
obstáculo	障碍 (zhàng ài)
truco	招 (zhāo)
reclutamiento	招聘 (zhāo pìn)
sigue siendo el mismo	照样 (zhào yàng)
brillar	照耀 (zhào yào)
filosofía	哲学 (zhé xué)
es decir	这就是说 (zhè jiù shì shuō)
ciudad	镇 (zhèn)
luchar por	争夺 (zhēng duó)
Rectificar	整顿 (zhěng dùn)
rectificar	整治 (zhěng zhì)
Justificable	正当 (zhèng dāng)
política	政策 (zhèng cè)
partido político	政党 (zhèng dǎng)
régimen	政权 (zhèng quán)
síntomas	症状 (zhèng zhuàng)
y similares	之类 (zhī lèi)
apoyo	支撑 (zhī chēng)
apoyo	支援 (zhī yuán)
rama	枝 (zhī)
famoso	知名 (zhī míng)
tejer	织 (zhī)
helicóptero	直升机 (zhí shēng jī)
Responsabilidades	职责 (zhí zé)
fin	止 (zhǐ)
Tengo que	只得 (zhǐ dé)
solo me importa	只顾 (zhǐ gù)
Solo inténtalo	只管 (zhǐ guǎn)
designación	指定 (zhǐ dìng)
índice	指数 (zhǐ shù)
dedos	指头 (zhǐ tou)
apuntando	指着 (zhǐ zhe)
Para	至于 (zhì yú)
curar la enfermedad	治病 (zhì bìng)
sabiduría	智慧 (zhì huì)
medio	中等 (zhōng děng)
Porcelana	中华 (zhōng huá)
mediano plazo	中期 (zhōng qī)
chinos y extranjeros	中外 (zhōng wài)
lealtad	忠心 (zhōng xīn)
hora	钟头 (zhōng tóu)
hinchar	肿 (zhǒng)
Varios	种种 (zhǒng zhǒng)
reconstrucción	重建 (chóng jiàn)
Reorganización	重组 (chóng zǔ)
Papilla	粥 (zhōu)
joyas	珠宝 (zhū bǎo)
Todos	诸位 (zhū wèi)
anfitrión	主持人 (zhǔ chí rén)
personaje principal	主角 (zhǔ jué)
corriente principal	主流 (zhǔ liú)
cocinar	煮 (zhǔ)
alojamiento	住宅 (zhù zhái)
estacionado en	驻 (zhù)
Pilar	柱子 (zhù zi)
desear	祝愿 (zhù yuàn)
dedicado	专用 (zhuān yòng)
ganar	赚 (zhuàn)
ganar	赚钱 (zhuàn qián)
equipo	装备 (zhuāng bèi)
espectacular	壮观 (zhuàng guān)
buscar	追究 (zhuī jiū)
atrapar	捉 (zhuō)
consultar	咨询 (zī xún)
agua del grifo	自来水 (zì lái shuǐ)
ser	自我 (zì wǒ)
autoestudio	自学 (zì xué)
hablando solo	自言自语 (zì yán zì yǔ)
cómodo	自在 (zì zài)
religión	宗教 (zōng jiào)
Sede	总部 (zǒng bù)
director	总监 (zǒng jiān)
gerente general	总经理 (zǒng jīng lǐ)
cantidad total	总量 (zǒng liàng)
contrabando	走私 (zǒu sī)
canada	奏 (zòu)
alquilar	租金 (zū jīn)
pies	足 (zú)
suficiente	足以 (zú yǐ)
clan	族 (zú)
abuelo	祖父 (zǔ fù)
patria	祖国 (zǔ guó)
abuela	祖母 (zǔ mǔ)
Perforar	钻 (zuān)
óptimo	最佳 (zuì jiā)
final	最终 (zuì zhōng)
delito	罪 (zuì)
pecado	罪恶 (zuì è)
hacer	作 (zuò)
vacío	作废 (zuò fèi)
luchar	作战 (zuò zhàn)
foro	座谈会 (zuò tán huì)
Silenciosamente. \n Matiz: Realizar una acción sin hablar o sin llamar la atención.	默默 (mò mò)
Era cristiana / d.C. \n Matiz: Sistema de datación de los años.	公元 (gōng yuán)
Inteligencia (biológica), intelecto, capacidad mental. \n Se refiere a la fuerza cognitiva innata. Se usa casi exclusivamente para seres humanos o animales. Es lo que miden los tests de coeficiente intelectual (IQ).	智力 (zhì lì)
s. Gimnasia.	体操 (tǐ cāo)
Ocasión / Situación. \n Matiz: El contexto social o momento específico donde ocurre algo (ej: "en ocasiones formales").	场合 (chǎng hé)
