comodidad	安慰 (ān wèi)
siempre	一向 (yí xiàng)
Según la ley	依法 (yī fǎ)
aún	依旧 (yī jiù)
de acuerdo con	依据 (yī jù)
de acuerdo a	依照 (yī zhào)
Segundo	乙 (yǐ)
de modo que	以便 (yǐ biàn)
en el pasado	以往 (yǐ wǎng)
conciencia	意识 (yì shí)
significar	意味着 (yì wèi zhe)
voluntad	意志 (yì zhì)
de este modo	因而 (yīn ér)
bebidas	饮料 (yǐn liào)
dieta	饮食 (yǐn shí)
impresión	印刷 (yìn shuā)
duro	硬 (yìng)
hardware	硬件 (yìng jiàn)
Abarcar	拥抱 (yōng bào)
tener	拥有 (yōng yǒu)
No hay necesidad	用不着 (yòng bù zhe)
usado para	用来 (yòng lái)
usado para	用于 (yòng yú)
descuento	优惠 (yōu huì)
prioridad	优先 (yōu xiān)
de este modo	由此 (yóu cǐ)
dudar	犹豫 (yóu yù)
piscina	游泳池 (yóu yǒng chí)
venenoso	有毒 (yǒu dú)
dañino	有害 (yǒu hài)
poderoso	有力 (yǒu lì)
beneficioso para	有利于 (yǒu lì yú)
tener	有着 (yǒu zhe)
bádminton	羽毛球 (yǔ máo qiú)
chaqueta de plumas	羽绒服 (yǔ róng fú)
agua de lluvia	雨水 (yǔ shuǐ)
preparación	预备 (yù bèi)
esperado	预期 (yù qī)
Año Nuevo	元旦 (yuán dàn)
jardín	园林 (yuán lín)
principio	原理 (yuán lǐ)
original	原始 (yuán shǐ)
original	原先 (yuán xiān)
original	原有 (yuán yǒu)
lejos	远处 (yuǎn chù)
culpa	怨 (yuàn)
deseoso	愿 (yuàn)
restricción	约束 (yuē shù)
pastel de luna	月饼 (yuè bǐng)
Luna	月球 (yuè qiú)
sala de lectura	阅览室 (yuè lǎn shì)
transporte	运 (yùn)
correr	运行 (yùn xíng)
desastre	灾 (zāi)
desastre	灾害 (zāi hài)
desastre	灾难 (zāi nàn)
zona de desastre	灾区 (zāi qū)
de nuevo	再次 (zài cì)
nunca más	再也 (zài yě)
presente	在场 (zài chǎng)
dentro	在内 (zài nèi)
temporario	暂时 (zàn shí)
pausa	暂停 (zàn tíng)
Malo	糟 (zāo)
Ups	糟糕 (zāo gāo)
Los primeros días	早期 (zǎo qī)
aumentar	增 (zēng)
aumentar la producción	增产 (zēng chǎn)
aumentar	增大 (zēng dà)
aumentar	增多 (zēng duō)
Mejorar	增强 (zēng qiáng)
regalo	赠 (zèng)
donar	赠送 (zèng sòng)
elegir	摘 (zhāi)
exhibición	展览 (zhǎn lǎn)
anexo	展示 (zhǎn shì)
espectáculo	展现 (zhǎn xiàn)
ocupado	占领 (zhàn lǐng)
poseer	占有 (zhàn yǒu)
longitud	长度 (cháng dù)
longevidad	长寿 (cháng shòu)
elevar	涨 (zhǎng)
aumento de precio	涨价 (zhǎng jià)
maestro	掌握 (zhǎng wò)
Admisiones	招生 (zhāo shēng)
ola	招手 (zhāo shǒu)
precioso	珍贵 (zhēn guì)
apreciar	珍惜 (zhēn xī)
perla	珍珠 (zhēn zhū)
sincero	真诚 (zhēn chéng)
verdad	真理 (zhēn lǐ)
la verdad	真相 (zhēn xiàng)
diagnóstico	诊断 (zhěn duàn)
vibración	振动 (zhèn dòng)
choque	震惊 (zhèn jīng)
disputar	争议 (zhēng yì)
ganar	挣 (zhēng)
ganar	挣钱 (zhèng qián)
Genuino	正版 (zhèng bǎn)
regular	正规 (zhèng guī)
como	正如 (zhèng rú)
justicia	正义 (zhèng yì)
Confirmar	证实 (zhèng shí)
Certificado	证书 (zhèng shū)
afuera	之外 (zhī wài)
bajo	之下 (zhī xià)
entre	之中 (zhī zhōng)
gasto	支出 (zhī chū)
control	支配 (zhī pèi)
implementar	执行 (zhí xíng)
linea recta	直线 (zhí xiàn)
de servicio	值班 (zhí bān)
Función	职能 (zhí néng)
Posición	职位 (zhí wèi)
Posición	职务 (zhí wù)
solo	只不过 (zhǐ bù guò)
solo vi	只见 (zhǐ jiàn)
índice	指标 (zhǐ biāo)
clavo	指甲 (zhǐ jiǎ)
instruir	指示 (zhǐ shì)
acusar	指责 (zhǐ zé)
a	至 (zhì)
Hecho	制成 (zhì chéng)
restringir	制约 (zhì yuē)
orden público	治安 (zhì ān)
gobernancia	治理 (zhì lǐ)
envenenado	中毒 (zhòng dú)
interrumpir	中断 (zhōng duàn)
Festival del Medio Otoño	中秋节 (zhōng qiū jié)
central	中央 (zhōng yāng)
medicina tradicional china	中药 (zhōng yào)
fin	终点 (zhōng diǎn)
para toda la vida	终身 (zhōng shēn)
terminación	终止 (zhōng zhǐ)
numeroso	众多 (zhòng duō)
ciclo	周期 (zhōu qī)
bambú	竹子 (zhú zi)
anfitrión	主办 (zhǔ bàn)
principal	主导 (zhǔ dǎo)
subjetivo	主观 (zhǔ guān)
director	主管 (zhǔ guǎn)
cuerpo principal	主体 (zhǔ tǐ)
asistente	助理 (zhù lǐ)
asistente	助手 (zhù shǒu)
registro	注册 (zhù cè)
inyección	注射 (zhù shè)
mirar	注视 (zhù shì)
presta atención a	注重 (zhù zhòng)
felicitar	祝贺 (zhù hè)
álbum	专辑 (zhuān jí)
patentar	专利 (zhuān lì)
Convertir	转化 (zhuǎn huà)
Convertir	转换 (zhuǎn huàn)
transferir	转让 (zhuǎn ràng)
doblar	转向 (zhuǎn xiàng)
decorar	装饰 (zhuāng shì)
Chocar	撞 (zhuàng)
capital	资本 (zī běn)
activos	资产 (zī chǎn)
fondos	资助 (zī zhù)
cuidado	仔细 (zǐ xì)
púrpura	紫 (zǐ)
orgullo	自豪 (zì háo)
suicidio	自杀 (zì shā)
voluntario	自愿 (zì yuàn)
bala	子弹 (zǐ dàn)
Presidente	总裁 (zǒng cái)
total	总数 (zǒng shù)
Finalmente	总算 (zǒng suàn)
en general	总体 (zǒng tǐ)
dificultar	阻碍 (zǔ ài)
organizar	组织 (zǔ zhī)
ebrio	醉 (zuì)
Respeto	尊敬 (zūn jìng)
respeto	尊重 (zūn zhòng)
cumplir	遵守 (zūn shǒu)
Uno tras otro / En abundancia. \n Matiz: Describe una sucesión rápida y masiva de actos.	纷纷 (fēn fēn)
Sucesivamente / Uno tras otro. \n Matiz: Acciones que ocurren de forma escalonada.	陆续 (lù xù)
Realizar. \n Matiz: Llevar a cabo.	作出 (zuò chū)
#70. Establecer, decretar. \n Se usa para cosas oficiales, legales, rígidas y permanentes.	制定 (zhì dìng)
s. Habilidad, capacidad. \n Matiz: Habilidades técnicas o destrezas aprendidas.	本领 (běn lǐng)
Conjunto / totalidad. \n Matiz: Vista como un todo.	整体 (zhěng tǐ)
Pronunciación / Fonética. \n Matiz: El sonido y la articulación de las palabras. 	语音 (yǔ yīn)
Conmovedor. \n Matiz: Algo que toca las emociones de forma profunda.	动人 (dòng rén)
Placer / Diversión. \n Matiz: El goce o deleite que se extrae de una actividad.	乐趣 (lè qù)
Increíble / Extraordinario. \n Matiz: Elogio para alguien con habilidades sobresalientes.	了不起 (liǎo bù qǐ)
Integral. \n Matiz: Combinado.	综合 (zōng hé)
Artificial, manual. \n Este término se utiliza para describir cualquier cosa que sea creada, procesada o realizada por el ser humano	人工 (rén gōng)
Incluir, inclusive. \n Más común y natural en conversación.	包括 (bāo kuò)
Cierto / Algún. \n Matiz: Pronombre para referirse a alguien o algo sin especificar su nombre.	某 (mǒu)
Madera / Leño. \n Matiz: Material proveniente de los árboles.	木头 (mù tou)
Simplemente / Literalmente. \n Matiz: Adverbio de énfasis para algo extremo o casi increíble.	简直 (jiǎn zhí)
Calendario.	日历 (rì lì)
Puede actuar como verbo o sustantivo y significa "depender de" o "apoyo" (en un sentido vital o a largo plazo). Tiene un peso más profundo; se refiere a buscar sustento económico, protección constante o consuelo emocional en alguien, o al "pilar" mismo que te sostiene en la vida.	依靠 (yī kào) \n	孩子依靠父母 (háizi yīkào fùmǔ - los niños dependen de sus padres)
Medicina (ciencia).	医学 (yī xué)
Incluso si. \n Matiz: Conector concesivo para situaciones hipotéticas extremas.	哪怕 (nǎ pà)
Cuidar con cariño / proteger con afecto. \n Matiz: Tiene un matiz emocional: cariño, aprecio	爱护 (ài hù)
#197. Instalar (software o hardware). Es la palabra técnica que verás en los instaladores .exe o scripts.	安装 (ān zhuāng)
adj. Oscuro, secreto, oculto.	暗 (àn)
Tener la certeza o seguridad de algo (abstracto).	把握 (bǎ wò)
s. medianoche	半夜 (bàn yè)
s. paquete	包裹 (bāo guǒ)
#68.Aunque también se traduce como "bebé", su significado original es "tesoro" o "objeto valioso".	宝贝 (bǎo bèi)
Delgado, fino (para objetos planos como papel, ropa o láminas).	薄 (báo)
Valioso, precioso (normalmente para cosas abstractas como el tiempo o la experiencia).	宝贵 (bǎo guì)
s. guardia de seguridad	保安 (bǎo ān)
Mantener, conservar (un estado o situación).	保持 (bǎo chí)
Guardar, conservar, salvar (archivos). \n Se usa para "Guardar" un documento en el ordenador o "conservar" comida en la nevera.	保存 (bǎo cún)
#79. Mantener o conservar (un estado, una tradición o un objeto). \n Reservar (derechos, opiniones)	保留 (bǎo liú)
Seguro (de vida, coche, etc.) \n adj. seguro/fiable	保险 (bǎo xiǎn)
Registrarse al llegar, presentarse (en un nuevo trabajo, hotel o escuela).	报到 (bào dào)
Reportaje, noticia, informar (en prensa).	报道 (bào dào)
Informe, reporte (escrito u oral), dar un discurso.	报告 (bào gào)
p.med. para libro	本 (běn)
#164. Indicar, demostrar, dejar claro, manifestar. \n Se usa cuando algo (un dato, una actitud, una prueba) sirve para hacer evidente una conclusión. Es una indicación que revela una intención o un estado interno.	表明 (biǎo míng)
#166. Mostrar, visualizar, desplegar, "display". \n Es la palabra técnica por excelencia. Se usa cuando una pantalla, un monitor o un sistema muestra información visual. También se usa para "ostentar" o mostrar una cualidad física.	显示 (xiǎn shì)
Detrás. \n Matiz: Puede ser físico (pero suena más a “a tus espaldas”.) o figurado (lo que ocurre en secreto o las razones ocultas).	背后 (bèi hòu)
Fondo. \n Matiz: Se refiere al fondo de una imagen o al contexto histórico/social de una situación.	背景 (bèi jǐng)
s. Manta, Colcha. \n Matiz: Ropa de cama acolchada para cubrirse al dormir.	被子 (bèi zi)
Marcador/Puntaje. \n Matiz: Se usa específicamente para el tanteo en deportes o concursos.	比分 (bǐ fēn)
Proporción. \n Matiz: Relación matemática o de escala entre partes.	比例 (bǐ lì)
Inevitable. \n Matiz: Algo que, por lógica o leyes naturales, tiene que suceder con total seguridad.	必然 (bì rán)
adj. Necesario. \n Matiz: Que es indispensable para alcanzar un objetivo	必要 (bì yào)
Evitar. \n Matiz: Acción preventiva para que algo negativo no llegue a suceder.	避免 (bì miǎn)
Título. \n Matiz: Encabezado de un texto o noticia.	标题 (biāo tí)
Logo / Símbolo. \n Matiz: Signo visual que identifica una marca o concepto.	标志 (biāo zhì)
Expresar. \n Matiz: Comunicar pensamientos o sentimientos de forma clara.	表达 (biǎo dá)
Se refiere a la parte exterior o visible de algo. \n significa “lo que se ve por fuera”, en contraste con lo real o interno.	表面 (biǎo miàn)
Expresión. \n Matiz: Se refiere estrictamente a los gestos del rostro.	表情 (biǎo qíng)
No. \n Matiz: Usado para dar órdenes negativas (imperativo: "no hagas...").	别 (bié)
Reponer / Complementar / Suplementar. \n Matiz: Añadir algo extra para perfeccionar o terminar una explicación o suministro.	补充 (bǔ chōng)
Entrevista. \n Matiz: Específicamente periodística o para recabar información oficial.	采访 (cǎi fǎng)
Adoptar / Emplear. \n Matiz: Elegir un método, sugerencia o tecnología para usarla.	采用 (cǎi yòng)
Color / Multicolor. \n Matiz: Que tiene varios colores, opuesto al blanco y negro.	彩色 (cǎi sè)
Referencia. \n Matiz: Consultar algo para obtener información o guía.	参考 (cān kǎo)
Implicarse. \n Matiz: Participación más activa o profunda en un proceso.	参与 (cān yù)
Operar, maniobrar. \n Matiz: Manejar máquinas o realizar procedimientos técnicos.	操作 (cāo zuò)
Medir / Probar. \n Matiz: Raíz para palabras relacionadas con evaluación o medición.	测 (cè)
Bueno, bien, ok. (simple)	好 (hǎo)
Bueno, favorable, satisfactorio.\n Es formal. No se usa para decir "estoy bien", sino para informes médicos, notas académicas o condiciones climáticas.	良好 (liáng hǎo)
Derecho (legal o humano). \n Se usa para "Derechos Humanos", "Derecho al voto", etc.	权利 (quán lì)
#215. "Si no", "de lo contrario", "o si no". \n Es la forma más común y natural en el lenguaje hablado para decir "o si no... [pasará algo]"	不然 (bù rán)
"apenas", "solo" o "recién". \n Su función es indicar que algo sucedió más tarde, más lento o con más dificultad de lo esperado.	才 (cái)
Significa "adoptar" o "tomar", pero no objetos, sino medidas, políticas o actitudes. \n Es una palabra formal. Se usa mucho en noticias, trabajo y contextos oficiales.	采取 (cǎi qǔ)
"llevarse con alguien" o "convivir". \n Describe la calidad de una relación a lo largo del tiempo.	相处 (xiāng chǔ) \n A +	跟 / 和 / 与 + B + 相处 \n 我跟同事相处得很好。
Prueba / Test. \n Matiz: Se usa para exámenes técnicos, pruebas de software o controles de calidad.	测试 (cè shì)
En el pasado / Alguna vez. \n Matiz: Indica una acción terminada que ya no ocurre; pone énfasis en la experiencia previa.	曾经 (céng jīng)
Producto. \n Matiz: Bienes manufacturados listos para la venta.	产品 (chǎn pǐn)
Sentido común. \n Matiz: Conocimientos básicos que se espera que todo el mundo sepa.	常识 (cháng shí)
luLugar / Recinto. \n Matiz: Término formal para referirse a un sitio destinado a una actividad específica.gar	场所 (chǎng suǒ)
Hacia. \n Se centra en la orientación física (cara a cara). Si una casa "mira" al mar, usamos ***. Es una posición estática o una dirección de mirada.	朝 (cháo) \n \n 朝窗户看 \n Mirar hacia la ventana.
Ruidoso / Discutir. \n Matiz: Puede describir un ambiente con mucho ruido o la acción de molestar.	吵 (chǎo)
Vehículos. \n Matiz: Término colectivo y formal para referirse a todo tipo de transporte sobre ruedas.	车辆 (chē liàng)
A fondo / Completamente / Radicalmente. \n Gramática: Funciona como adverbio y adjetivo. \n Matiz: Realizar una acción hasta el final, sin dejar ningún detalle suelto o a medias.	彻底 (chè dǐ) \n 智能手机彻底改变了我们的生活。(Los teléfonos inteligentes han cambiado completamente nuestras vidas.) \n 这是一次彻底的胜利。(Esta es una victoria total (absoluta).)
Hundirse / Pesado. \n Matiz: Movimiento hacia el fondo del agua o sensación física de mucho peso.	沉 (chén)
Silencio. \n Matiz: Estado de una persona que no habla, a menudo por elección o seriedad.	沉默 (chén mò)
Ser llamado. \n Matiz: Se usa para definiciones o nombres oficiales ("Esto se conoce como...").	称为 (chēng wéi)
Alabar / Elogiar. \n Matiz: Expresar admiración por las cualidades o logros de alguien.	称赞 (chēng zàn)
Fruto / Resultado positivo. \n Matiz: El producto tangible o logro que queda después de un esfuerzo.	成果 (chéng guǒ)
Gran logro / Hazaña. \n Matiz: Éxito de gran magnitud que perdura en el tiempo.	成就 (chéng jiù)
Establecer / Fundar. \n Matiz: Crear una organización, empresa o institución.	成立 (chéng lì)
Adulto. \n Matiz: Persona que ha alcanzado la mayoría de edad.	成人 (chéng rén)
Maduro. \n Matiz: Se aplica tanto a frutas listas para comer como al carácter de una persona.	成熟 (chéng shú)
Miembro. \n Matiz: Persona que forma parte de un grupo o familia.	成员 (chéng yuán)
Crecer. \n Matiz: Proceso de desarrollo físico o personal de un ser vivo.	成长 (chéng zhǎng)
Asumir. \n Matiz: Hacerse cargo de una responsabilidad, coste o consecuencia.	承担 (chéng dān)
Soportar / Aguantar. \n Matiz: Capacidad de resistir una presión física o un dolor emocional.	承受 (chéng shòu)
Grado / Nivel. \n Matiz: La medida en que llega una situación o sentimiento.	程度 (chéng dù)
Procedimiento / Programa. \n Matiz: Pasos ordenados para hacer algo o software de computadora.	程序 (chéng xù)
Continuar / Persistir. \n Matiz: Una situación que se mantiene en el tiempo sin detenerse.	持续 (chí xù) \n	我坚持学习汉语。\n 她每天都坚持走路上下班，所以身体一直很不错。
Regla. \n Matiz: El objeto físico escolar o de oficina para medir.	尺子 (chǐ zi)
Cargar (batería). \n Matiz: Suministrar energía eléctrica a un dispositivo.	充电 (chōng diàn)
Suficiente / Pleno. \n Matiz: Que hay cantidad más que suficiente para cumplir un propósito.	充分 (chōng fèn)
Lleno de. \n Matiz: Suele usarse para espacios llenos de algo abstracto (ej: "lleno de esperanza").	充满 (chōng mǎn)
Bicho / Insecto. \n Matiz: Nombre genérico y coloquial para cualquier animal pequeño invertebrado.	虫子 (chóng zi)
Sacar / Extraer. \n Matiz: Movimiento de tirar hacia afuera (como sacar un pañuelo o fumar).	抽 (chōu)
Sobresaliente. \n Matiz: Alguien o algo que destaca por su excelencia.	出色 (chū sè)
Vender. \n Matiz: Término formal para poner algo a la venta.	出售 (chū shòu)
Asistir. \n Matiz: Estar presente en un evento formal (conferencia, banquete).	出席 (chū xí)
Inicio / Primero. \n Matiz: Raíz que indica el comienzo de un periodo o nivel básico.	初 (chū)
Nivel elemental. \n Matiz: El grado más básico de aprendizaje o clasificación.	初级 (chū jí)
Gestionar / Resolver. \n Matiz: Encargarse de un problema, trámite o residuo.	处理 (chǔ lǐ)
Encontrarse en (un estado). \n Matiz: Estar en una situación o condición determinada (ej: "estar en crisis").	处于 (chǔ yú)
Difundir / Propagar. \n Matiz: Extender ideas, noticias o incluso virus a gran escala.	传播 (chuán bō)
Leyenda. \n Matiz: Relato transmitido de generación en generación que puede no ser real.	传说 (chuán shuō)
Tradición / Tradicional. \n Matiz: Costumbres y valores heredados del pasado que se mantienen vivos.	传统 (chuán tǒng)
#28. Súper. \n Es más juvenil. \n En el día a día se usa para enfatizar adjetivos.	超级 (chāo jí)
#69. admitir, reconocer, confesar.	承认 (chéng rèn)
Alféizar / Repisa. \n Matiz: La base plana en la parte inferior de la ventana.	窗台 (chuāng tái)
Innovar. \n Matiz: Introducir novedades o cambios en algo que ya existe (ideas, métodos).	创新 (chuàng xīn)
Emprender. \n Matiz: Iniciar un negocio o una carrera profesional propia.	创业 (chuàng yè)
Crear. \n Matiz: Producir algo nuevo que no existía (puede ser material o abstracto).	创造 (chuàng zào)
Crear (obras). \n Matiz: Se usa específicamente para la creación artística, literaria o musical.	创作 (chuàng zuò)
Vocabulario. \n Matiz: El conjunto de palabras de un idioma o de una persona.	词汇 (cí huì)
Estimular / Provocar. \n Matiz: Algo que genera una reacción (emoción fuerte, impulso económico o picor).	刺激 (cì jī)
Fomentar. \n Matiz: Favorecer, ayudar a que algo se desarrolle.	促进 (cù jìn) \n 运动促进健康。(El ejercicio promueve/favorece a la salud.)
Existir. \n Matiz: El hecho de tener realidad física o conceptual.	存在 (cún zài)
Medida. \n Matiz: Pasos formales tomados para resolver un problema específico.	措施 (cuò shī)
Romper. \n Matiz: Enfatiza la acción de romper algo.	打破 (dǎ pò)
Indagar. \n Matiz: Preguntar para obtener información sobre alguien o algo.	打听 (dǎ tīng)
Mayormente. \n Matiz: Adverbio para indicar que algo ocurre en la mayoría de los casos.	大多 (dà duō)
Asamblea / Conferencia. \n Matiz: Reunión formal de mucha gente.	大会 (dà huì)
Abuelo. \n Matiz: Forma respetuosa (y a veces coloquial) de dirigirse a un señor mayor.	大爷 (dà yé)
El público. \n Matiz: Las masas de gente; también es el nombre de la marca Volkswagen en China.	大众 (dà zhòng)
Representar. \n Matiz: Actuar en nombre de un grupo; también significa "delegado".	代表 (dài biǎo)
Reemplazar. \n Matiz: Ocupar el lugar de otra persona o cosa.	代替 (dài tì)
Impulsar. \n Matiz: Una cosa influye y hace que otras también se desarrollen o actúen..	带动 (dài dòng) \n 旅游业带动了当地经济。(El turismo impulsó la economía local.)
Trato / Salario. \n Matiz: Beneficios y condiciones que recibes en un trabajo.	待遇 (dài yù)
A solas. \n Matiz: Hacer algo de forma independiente, sin compañía.	单独 (dān dú)
Desempeñar el cargo. \n Matiz: Ocupar un puesto o función específica.	担任 (dān rèn)
En el pasado / Érase una vez	从前 (cóng qián)
#1. Dedicarse a, Trabajar en. \n Se usa para expresar que alguien se dedica a una actividad, profesión o trabajo, generalmente de forma formal. \n Estructura: Sujeto + ** + actividad/profesión	从事 (cóng shì) \n	你从事什么工作？(¿A qué te dedicas?)
Incitar a, hacer que. \n No es una palabra de "tiempo", sino de causa y efecto. Se usa cuando algo (una circunstancia, una noticia, un consejo) actúa como catalizador para que ocurra otra cosa. Es bastante formal.	促使 (cù shǐ)
inmediatamente. \n Muy Formal. \n Es un "ahora mismo" literario o de noticias. No admite demora alguna.	立即 (lì jí)
inmediatamente. \n Estándar/Firme. \n Muy usado para órdenes o situaciones urgentes. ¡En este instante!	立刻 (lì kè)
#93. Promoción de Ventas (El Descuento)	促销 (cù xiāo)
#94. Promocionar, difundir	推广 (tuī guǎng)
#160. Posiblemente, quizás. \n Es muy parecido a yěxǔ, pero es más formal y literario. Se encuentra mucho en libros, noticias o discursos escritos.	或许 (huò xǔ)
#161. Quién sabe, puede que, es posible que. \n Es muy coloquial e informal. Literalmente significa "no se puede decir con certeza". Se usa cuando algo te parece posible pero no tienes ninguna prueba.	说不定 (shuō bù dìng)
#152. Mujer mayor (estilo "abuelita" o señora de barrio). \n A veces tiene una connotación más informal o de calle (las famosas señoras que bailan en las plazas).	大妈 (dà mā)
#91. Grande (Escala / Industrial). \n Es un término técnico o formal. No se usa para decir que una manzana es grande, sino para infraestructuras, empresas o eventos masivos.	大型 (dà xíng)
Insípido / Tenue. \n Matiz: Se usa para sabores poco intensos, colores claros o relaciones frías.	淡 (dàn)
Cuando (lenguaje formal/escrito)	当 (dāng)
adj. Local. \n Matiz: El lugar donde ocurre la acción o del que se está hablando.	当地 (dāng dì)
Sinónimo de 中间, pero con tono más formal o literario. \n Uso especial que 中间 NO tiene: "estar en medio de un proceso" (en curso), junto con verbos como 进行, 讨论, 发展. \n También se usa para decir "entre" un grupo en sentido más abstracto/selectivo.	当中 (dāng zhōng) \n 他站在我们当中。 \n 计划还在讨论当中。
Director. \n Matiz: Persona que dirige una película, obra o programa.	导演 (dǎo yǎn)
Causar / Provocar. \n Matiz: Casi siempre se usa para resultados negativos o indeseados.	导致 (dǎo zhì)
Razón / Lógica. \n Matiz: El principio o sentido detrás de algo.	道理 (dào lǐ)
Suelo / Superficie. \n Matiz: La parte exterior de la tierra sobre la que se camina.	地面 (dì miàn)
Zona / Área. \n Matiz: Una extensión de terreno con características comunes.	地区 (dì qū)
Estatus / Posición. \n Matiz: Rango social, político o importancia de alguien en un grupo.	地位 (dì wèi)
Bajo tierra / Clandestino. \n Matiz: Literalmente debajo del suelo o actividades secretas.	地下 (dì xià)
Ciertamente. \n Matiz: Adverbio para confirmar con énfasis que algo es verdad.	的确 (dí què)
Iluminación. \n Matiz: La luz que emana de las lámparas.	灯光 (dēng guāng)
Subir / Registrarse. \n Matiz: Acción de ascender a un lugar alto o anotar información.	登 (dēng)
Registrarse. \n Matiz: Anotar formalmente datos en una lista o sistema (ej. hotel).	登记 (dēng jì)
Iniciar sesión. \n Matiz: Entrar a una cuenta de usuario en internet o software.	登录 (dēng lù)
Aguardar. \n Matiz: Acción de esperar más formal y prolongada.	等待 (děng dài)
Ser igual a. \n Matiz: Equivalencia matemática o figurada ("esto equivale a...").	等于 (děng yú)
Enemigo. \n Matiz: Persona o bando opuesto en un conflicto.	敌人 (dí rén)
Estación de televisión. \n Matiz: La organización o canal que emite.	电视台 (diàn shì tái)
Transferir / Tono. \n Matiz: Cambiar de puesto o el tono de la voz/música.	调 (diào)
Travieso. \n Matiz: Comportamiento juguetón y algo rebelde, usualmente en niños.	调皮 (tiáo pí)
Ajustar. \n Matiz: Hacer pequeños cambios para mejorar o adaptar algo.	调整 (tiáo zhěng)
Regularmente. \n Matiz: A intervalos de tiempo fijos y constantes.	定期 (dìng qī)
Tofu.	豆腐 (dòu fǔ)
Independiente. \n Matiz: Capacidad de valerse por sí mismo o autonomía política.	独立 (dú lì)
Único / Peculiar. \n Matiz: Que es diferente a los demás y tiene un estilo propio.	独特 (dú tè)
Solo / Por cuenta propia. \n Matiz: Realizar una acción sin compañía (formal).	独自 (dú zì)
Pronunciación. \n Matiz: El sonido específico de un carácter o palabra.	读音 (dú yīn)
Obstruir / Tapar. \n Matiz: Bloquear el paso de un fluido o camino.	堵 (dǔ)
Grado / Grados. \n Matiz: Unidad de medida para temperatura, ángulos o intensidad.	度 (dù)
#45. caer. \n Ocurre cuando algo que está erguido pierde el equilibrio y termina en el suelo	倒 (dào)
#127. La Tierra firme (Tierra vs. Mar) \n Se usa en contextos geográficos para diferenciar la superficie seca del océano.	陆地 (lù dì)
#128. Tierra para uso. \n Se refiere a la tierra como recurso: para construir, para la agricultura o como propiedad.	土地 (tǔ dì)
#163. Ser bueno en..., ser diestro en..., tener facilidad para... \n Es una expresión formal y elegante. Se usa para describir una capacidad o talento natural para realizar una actividad (especialmente verbos de acción o procesos mentales).	善于 (shàn yú)
Repetidamente, una y otra vez (con idea de retroceso o inestabilidad). \n Implica un proceso que va y viene, que cambia o que es difícil de fijar. Se usa mucho para la salud (recaídas) o para procesos de aprendizaje/revisión.	反复 (fǎn fù)
Corto plazo. \n Matiz: Periodo de tiempo breve para un plan o contrato.	短期 (duǎn qī)
Romper / Cortar. \n Matiz: Separación física de algo largo o interrupción de suministros (luz, agua).	断 (duàn)
Contrastar / Comparar. \n Matiz: Poner dos cosas juntas para observar sus diferencias.	对比 (duì bǐ)
Tratar a / Actitud. \n Matiz: La forma de comportarse hacia una persona o un asunto.	对待 (duì dài)
Oponente / Rival. \n Matiz: Persona o equipo contra el que se compite.	对手 (duì shǒu)
Objetivo / Pareja. \n Matiz: El blanco de una acción o, coloquialmente, el novio o novia.	对象 (duì xiàng)
De segunda mano. \n Matiz: Objetos usados previamente por otra persona.	二手 (èr shǒu)
Publicar / Manifestar. \n Matiz: Hacer pública una opinión, artículo o discurso oficial.	发表 (fā biǎo)
Desarrollado. \n Matiz: Se usa para economías avanzadas, músculos o sistemas progresados.	发达 (fā dá)
Demostrar / Desplegar. \n Matiz: Mostrar todo el potencial o habilidad en una situación real.	发挥 (fā huī)
Inventar. \n Matiz: Crear algo nuevo que no existía anteriormente.	发明 (fā míng)
Tomar la palabra. \n Matiz: Dar un discurso o hablar en una reunión formal.	发言 (fā yán)
Tribunal / Corte. \n Matiz: Institución o lugar físico donde se administra justicia.	法院 (fǎ yuàn)
Contrario / Revés. \n Matiz: Indica oposición o la parte de atrás de un objeto.	反 (fǎn)
Reacción. \n Matiz: Respuesta fisiológica o química inmediata ante un estímulo.	反应 (fǎn yìng)
Reflejar / Informar. \n Matiz: Mostrar una realidad o transmitir una queja a un superior.	反映 (fǎn yìng)
De todas formas. \n Matiz: Indica que el resultado final no cambiará a pesar de lo ocurrido.	反正 (fǎn zhèng)
Rango / Alcance. \n Matiz: Límites espaciales, temáticos o de una actividad.	范围 (fàn wéi)
Prevenir / Defender. \n Matiz: Raíz para conceptos relacionados con la protección.	防 (fáng)
Evitar / Prevenir. \n Matiz: Tomar medidas para que algo negativo no suceda.	防止 (fáng zhǐ)
Inmueble. \n Matiz: Es un término más general y formal que se refiere a la construcción material en sí, muy usado en contratos de compraventa, bienes raíces (inmobiliaria) o temas legales.	房屋 (fáng wū) \n 签订房屋买卖合同。- Firmar el contrato de compraventa de inmuebles.
Visitar (oficial). \n Matiz: Visita formal a una persona, país o acceso a un sitio web.	访问 (fǎng wèn)
Vuelo / Pilotar. \n Matiz: El acto técnico de volar o la aviación como tal.	飞行 (fēi xíng)
Separarse / Respectivamente. \n Matiz: Despedirse de alguien o diferenciar elementos.	分别 (fēn bié)
Distribuirse. \n Matiz: Cómo se reparten elementos u objetos en un área determinada.	分布 (fēn bù)
Asignar / Repartir. \n Matiz: Distribuir tareas, recursos o beneficios entre varios.	分配 (fēn pèi)
Romper (pareja). \n Matiz: Terminar una relación sentimental (lit. "separar las manos").	分手 (fēn shǒu) \n	我们分手了。Terminamos (la relación)
